pid,nameAttested,nameTransliterated,bbox,id,reprLat,reprLong,timePeriods,timePeriodsKeys,minDate,maxDate,geometry,featureType
/places/108542249,Tell Abu Sheeja,"Tell Abu Sheeja, Tall Abu Sheeja, Tall â€™AbÅ« Å Ä«jah, Tall Abu Shijah",NULL,osm-location-of-tell-aaba-a-a-jah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[47.1443488, 32.3901239], [47.1463229, 32.3958676], [47.1475245, 32.3985128], [47.1514727, 32.3915916], [47.1514083, 32.3913379], [47.1443488, 32.3901239]]]}",settlement
/places/108542249,ØªÙ„ Ø£Ø¨Ùˆ Ø´ÙŠØ¬Ø©,"Tall â€™AbÅ« Å Ä«jah, Tall Abu ShÄ«jah, Tall Abu Shijah",NULL,tall-aaba-a-a-jah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[47.1443488, 32.3901239], [47.1463229, 32.3958676], [47.1475245, 32.3985128], [47.1514727, 32.3915916], [47.1514083, 32.3913379], [47.1443488, 32.3901239]]]}",settlement
/places/108542249,ØªÙ„ Ø£Ø¨Ùˆ Ø´ÙŠØ¬Ø©,"Tall â€™AbÅ« Å Ä«jah, Tall Abu ShÄ«jah, Tall Abu Shijah",NULL,osm-location-of-tell-aaba-a-a-jah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Polygon"", ""coordinates"": [[[47.1443488, 32.3901239], [47.1463229, 32.3958676], [47.1475245, 32.3985128], [47.1514727, 32.3915916], [47.1514083, 32.3913379], [47.1443488, 32.3901239]]]}",settlement
/places/108542249,Tell Abu Sheeja,"Tell Abu Sheeja, Tall Abu Sheeja, Tall â€™AbÅ« Å Ä«jah, Tall Abu Shijah",NULL,tell-abu-sheeja,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [47.147945073, 32.3944070561]}",settlement
/places/108542249,Tell Abu Sheeja,"Tell Abu Sheeja, Tall Abu Sheeja, Tall â€™AbÅ« Å Ä«jah, Tall Abu Shijah",NULL,imagery-location-of-tall-2018abu-sijah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [47.147945073, 32.3944070561]}",settlement
/places/108542249,ØªÙ„ Ø£Ø¨Ùˆ Ø´ÙŠØ¬Ø©,"Tall â€™AbÅ« Å Ä«jah, Tall Abu ShÄ«jah, Tall Abu Shijah",NULL,tall-aaba-a-a-jah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [47.147945073, 32.3944070561]}",settlement
/places/108542249,ØªÙ„ Ø£Ø¨Ùˆ Ø´ÙŠØ¬Ø©,"Tall â€™AbÅ« Å Ä«jah, Tall Abu ShÄ«jah, Tall Abu Shijah",NULL,imagery-location-of-tall-2018abu-sijah,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [47.147945073, 32.3944070561]}",settlement
/places/108542250,× ×—×œ ×—×ž×¨,"Nahal Hemar, Naá¸¥al á¸¤emar, Naáº–al HÌ²emar",NULL,nahal-hemar,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [35.194256, 31.158652]}",cave
/places/108542250,× ×—×œ ×—×ž×¨,"Nahal Hemar, Naá¸¥al á¸¤emar, Naáº–al HÌ²emar",NULL,5de5e25e85ea-5e05d75dc-5d75de5e8,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [35.194256, 31.158652]}",cave
/places/108722,NULL,Aardenburg,NULL,aardenburg,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.446719, 51.272682]}",settlement
/places/108722,NULL,Aardenburg,NULL,dare-location,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.446719, 51.272682]}",settlement
/places/108722,NULL,Aardenburg,NULL,aardenburg,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.444763, 51.273541]}",unknown
/places/108722,NULL,Aardenburg,NULL,darmc-location-11140,NULL,NULL,M,modern,1700,2100,"{""type"": ""Point"", ""coordinates"": [3.444763, 51.273541]}",unknown
/places/108724,NULL,Abnobaia Ore,"8.0, 48.0, 9.0, 49.0",abnobaia-ore,48.500000000000000000000000000000,8.500000000000000000000000000000,R,roman,-30,300,"{""type"": ""Polygon"", ""coordinates"": [[[8.0, 48.0], [8.0, 49.0], [9.0, 49.0], [9.0, 48.0], [8.0, 48.0]]]}",unknown
